Index,EVMAddress,SubstrateAddress,Balance
148,0x7CDC9F513141Aebd4eD571b93757be1266E95a32,5G8E4ZJxVcgfkbyk1ovkZnuvie5dbTgg3pysvCk3CemGhEpJ,535109.2683
150,0x91Ad9CE19e58f93eae5Ec2aCa5B0d1a51Cdf2155,5CpcLPYogmJPuaQUHWTeD8xDcz8vpmEJUu66GrxGiscicVFE,2777767.7700
151,0x82e9315880145Db80884d46464Df2B4483DcCcb3,5CWdEEq1Sog5BkYfrD38zGCk6Vcphtf1hpRwYHrHBdLDQtyk,2777778.7697
152,0x8dA64BD20C0572eD2E72c304863b01FC6904488D,5E7ADXc9QFbQKtDMvxdYuZMfyUL6bvgo1EMSYe8PWv4pcb8q,1285614.7283
153,0xA1F1A4129DE0638544d9e622FAA6b4C610f45b1C,5HYfoCDfJqhJH1CCyVyWHnjFSo9UhzF2es2iKuhzhxKNgRtE,5138890.5655
154,0xA773b135Df6265DF762709492799f31d8cE00692,5F8DT74gykgLi26YNr1qW4Q4DNNe3ohPUxzezWLvyCB3LeLE,7708333.3307
155,0x4D583Aa4cC1ea98E81Eb10904c98088d9aaBB999,5GQZrZ2joyn22nQ1fyPauhP5MNWPHtgzs2DhRxXjNWAtY4W5,5138888.9000
156,0x0DC874Fb5260Bd8749e6e98fd95d161b7605774D,5EsfLjkKSuQmAkn1gSQdXhdMD18anDN3g2H69WYTj5UUzP3g,19444445.4298
157,0xa0AE9b429F67f893f209c8a1597D81CB9Bb30cb8,5FFhKTa9XHnRQzkkvxp7eSHQ9gvHWQYZ8JLogiReMAvc6xYU,1805558.5698
158,0xBEeC5f280a1622fBaf2779626F6B984e9Bfa2642,5GjwwZXMpLdP2ntD2e35RRdafMgMFsfU1ZP1jTyah3hDJ31w,1670138.9000
159,0x9127b1146d19DC40148cF9E6184c3fFA4d0Cc027,5FoboZRe2PYNvrWw3b9nT9DPBrSDbJ1VBnGYitnMBQakxBqP,256944.4400
160,0xDc4eDA5973d1fb328C2F18B1692A7D0B66050Ce0,5D66TgUkm22RtKd8hqGBQ8yvVaVUHLMUEzZJ6VQ8TkLsTCF8,642361.1000
161,0xCc577B72B0cA6Ff0170793161C6DCe2d001D6087,5CFHtPmLj4DGYDe2XopRBP9TRcbPHEHGPpWuLieimqNzBiVF,513888.9000
162,0x3a45b709729b3fc30e828a7e1297d8dac610b0fd,5EYwEUEkFceGDmuEA94gfBV8g22VwZcPhAyb6UoNu8PAieok,642365.4258
163,0x8609149d68db4A64fBAb57B6513d1009A9507a74,5DowNZimKNpVijFFTJgSvUj6SMneoW45q81A3Ko8arRfpBbU,256944.4400
164,0x2ab0bd45E66Db3239c2249b686cf643eC004614A,5Cg3iBoMXLsN3zdJHCdLq92VqToYtfkdqvTUBxdvBJjBnWbh,770833.3300
165,0xd0f28D4a32A09d33F73A3F528eea3d8A88fbDb41,5GifpkFHCqHxjHUch8VMHkzYWTqnyYZYFsaN2c3MuMp4T7sd,208667.3509
167,0xDA6E18C20B571B9798BC256C65Cc056e0C622101,5EXVDrV5ujvG4DzQ7MkZMxXBPnkqpF74qTqex1951b6qTL4f,208334.3279
168,0xe2774BCa6E1744871F79303F890dE2E6474254fF,5EjHX5fcynzQUEsrNj5MfRZjbJkG8o6G6Aughy1mQKVsWt49,52083.3400
169,0x31338618F1f0fc677eb3A33F6C5A3a4f0F5bC8a7,5EQ1CS8E5b77hd9RYZX4xn3bM9dq3JGfrhTxZ3RfYQ8rLNUz,144531.2500
170,0xD8766465b9E6c3cF7eA1704bfdD466aD250F5BC8,5GQjtnSYLH6zNUfazxkc8ZqcBHDedYpmfB4Dhuk8ik9EKhgo,104167.6698
171,0x3A8e56A6aDbaAC259B91B5e5fdfDaa37A3765aC0,5CV5ZQmQyQhDZwAvnaPhyzpbGHyrxAnhoa2V9kuoHHwuVtFo,177675.6537
172,0x0b499E2a349EC9AfF359603cD7AE574f244155cC,5CB9vK1dD3XMkAzroNzCoeFEPGZFLMmAvn4V7wRg3yB4p3hv,62502.0000
173,0x1F006Bb5b09fe157Ed312Da51364E09DBf64cb71,5EJmrp32AnVCdeVw9FCaRaTu2BjXN3RbjTfybRnQ4MzQ168e,104429.5514
